t,q1,q2
198,8.06324241886909,10.1095776541921
199,8.06601639510152,10.1109680974567
200,8.06873185739705,10.1123276394667
201,7.9623999143669,9.99434785119942
202,7.74880416981771,9.75891911499431
203,7.53947799111709,9.52809951000305
204,7.33439308659362,9.30185941465543
205,7.13352038950988,9.080168786163
206,6.93683003559977,8.86299702748884
207,6.74429131078602,8.65031289795662
208,6.55587255859326,8.44208438785848
209,6.37154104307746,8.2382785403334
210,6.19126277929845,8.03886123062497
211,6.01500235037835,7.84379692216704
212,5.84272272826124,7.6530484200013
213,5.67438511194968,7.46657663939234
214,5.50994879330436,7.28434040347883
215,5.34937105694341,7.1062962795468
216,5.19260711764348,6.93239845960084
217,5.03961009605394,6.76259868758967
218,4.89033103151527,6.59684623299092
219,4.7447189292823,6.43508790845863
220,4.60273767959079,6.2772681278226
221,4.46434990668099,6.12332899981491
222,4.32949570151967,5.97321045239597
223,4.19810905034247,5.82685038237391
224,4.07012382145674,5.68418482507781
225,3.94547394842419,5.54514813909124
226,3.82409418296394,5.40967320141935
227,3.70591933143724,5.27769160890719
228,3.59088368364355,5.14913388220954
229,3.4789211088595,5.02392966910927
230,3.36996526351993,4.90200794446907
231,3.26394977741277,4.78329720456675
232,3.16080842275605,4.66772565399789
233,3.06047528667561,4.55522138372432
234,2.96288491608221,4.44571253920158
235,2.86797241642856,4.33912747783003
236,2.77567353650392,4.23539491524543
237,2.68592474564736,4.13444406019674
238,2.59866330369021,4.03620473795364
239,2.5138273238643,3.94060750234848
240,2.43135582905178,3.84758373668797
241,2.35118880181118,3.75706574387536
242,2.27326722866403,3.66898682616428
243,2.19753313917947,3.58328135502572
244,2.12392964018963,3.49988483165307
245,2.05240094518457,3.41873393865775
246,1.98289239913817,3.33976658352305
247,1.91535049908741,3.26292193438965
248,1.84972291072356,3.18814044874226
249,1.78595848119977,3.11536389555688
250,1.72400724832308,3.04453537145303
251,1.6638221636293,2.97559931137504
252,1.60536250968491,2.90850149430454
253,1.54858531583599,2.84318904448135
254,1.49344236488826,2.77961042858358
255,1.43988711924107,2.71771544929121
256,1.38787463386983,2.65745523563027
257,1.33736153175893,2.59878223046728
258,1.28830607031407,2.5416501754976
259,1.240667989403,2.48601409404514
260,1.19440831771019,2.43183027196605
261,1.1494893145593,2.3790562369252
262,1.10587444235023,2.32765073629138
263,1.0635283357235,2.27757371387569
264,1.02241676853185,2.22878628571741
265,0.982506619696747,2.18125071510223
266,0.943765840054163,2.13493038698054
267,0.906163418320291,2.08978978193621
268,0.869669345485991,2.04579444984152
269,0.834254580435384,2.0029109833193
270,0.799891017211173,1.96110699112027
271,0.766551454008469,1.92035107151166
272,0.734209563917022,1.88061278576183
273,0.702839867377871,1.84186263179569
274,0.672417706275695,1.80407201808623
275,0.642919219555565,1.76721323783924
276,0.614321320235816,1.7312594435203
277,0.586601673692049,1.69618462176647
278,0.559738677123221,1.66196356871846
279,0.5337114402539,1.6285718658037
280,0.508499767752481,1.59598585599515
281,0.484084140695117,1.56418262056646
282,0.460447157819503,1.53313995635974
283,0.43757211318446,1.50283635357842
284,0.415440993004326,1.47325097411453
285,0.394035909038803,1.44436363041661
286,0.373339706062066,1.41615476490204
287,0.353335926475766,1.388605429915
288,0.334008779389042,1.36169726822945
289,0.315343117797594,1.33541249409474
290,0.297324425624547,1.30973387481955
291,0.27993877274149,1.28464471288909
292,0.263172790407212,1.26012882860869
293,0.247013657167026,1.23617054326647
294,0.231449087896512,1.21275466280644
295,0.216467327775646,1.18986646200306
296,0.202057160138705,1.16749166912737
297,0.188207902479785,1.1456164510946
298,0.174909249306985,1.1242273990825
299,0.162151189760648,1.10331151460962
300,0.149924047091613,1.08285619606221
