t,LowKsLowRes,LowKsMedRes,LowKsHighRes,HighKsLowRes,HighKsMedRes,HighKsHighRes
62,0.0624580994745517,1.94724198756298,4.18728168592226,1.16691121072058e-05,0.024344400257505,0.482804146390997
63,0.0931946069751641,2.05078100271272,4.31353534088975,1.16700604538858e-05,0.03118171320127,0.517730511825493
64,0.128684024320083,2.15633371324385,4.43966360457162,1.16710877548322e-05,0.0390437000762906,0.553973322465196
65,0.168626928999186,2.26383263490326,4.5655145972206,1.16722000058302e-05,0.0479609477009623,0.591534596181758
66,0.21278839992459,2.37320461496188,4.69093773161357,1.16734036713191e-05,0.0579599420407121,0.630415634209371
67,0.260976997971952,2.48437053370826,4.81578449344358,1.16747057303529e-05,0.0690640417153837,0.670616985433836
68,0.313032364127541,2.59724507491562,4.93990919912226,1.16761137326916e-05,0.0812942529319145,0.712138401645753
69,0.368817324773267,2.71173657235274,5.06316972173875,1.16776358590987e-05,0.0946698233531145,0.75497878385457
70,0.428212570441699,2.82774693822075,5.1854281768077,1.16792810043202e-05,0.109208678978141,0.799136120117956
71,0.491112901564655,2.9451716779909,5.30655156044891,1.16810588821106e-05,0.124927730434641,0.844607415270653
72,0.557424475318081,3.063899994539,5.42641233374396,1.8150083490835e-05,0.141843074590518,0.89138861310371
73,0.627062715122546,3.18381498276777,5.54488894817723,0.000322956912813844,0.159970115203792,0.939474511682155
74,0.699950669773207,3.30479391413441,5.66186630825799,0.0011947464037551,0.179323623274097,0.98885867263042
75,0.776017682202382,3.426708608709,5.77723616860728,0.0025847066948697,0.199917754307097,1.03953332535824
76,0.855198272470055,3.54942589063878,5.8908974639506,0.00449689997102601,0.221766036820015,1.0914892673404
77,0.937431168027102,3.67280812123234,6.00275657155973,0.00695209401127659,0.244881342938775,1.14471576169876
78,1.02265843324593,3.79671380235901,6.11272750671504,0.00997715211000922,0.269275849222364,1.19920043345897
79,1.11082466340494,3.92099824151968,6.22073205264842,0.0136017341588134,0.294960994126226,1.25492916596507
80,1.20187621792784,4.04551426882728,6.32669982744842,0.0178568791679583,0.321947436236206,1.31188599902673
81,1.29576047501864,4.17011299525956,6.43056829090069,0.0227742835484267,0.350245015961726,1.37005303044504
82,1.39242509568597,4.29464460093443,6.53228269482745,0.0283858900731229,0.379862722143546,1.42941032260849
83,1.49181728999258,4.41895914181764,6.63179598121745,0.0347236335519513,0.41080866406042,1.48993581587034
84,1.59388308248649,4.54290736320132,6.72906863262215,0.0418192727337028,0.443090048573573,1.55160525040787
85,1.69856657732525,4.6663415084831,6.82406847959619,0.0497042728693147,0.476713161594363,1.61439209822442
86,1.8058092266853,4.78911611220953,6.91677047011424,0.0584097196119403,0.511683352670611,1.67826750688316
87,1.91554910868361,4.91108876700372,7.00715640595465,0.0679662530014811,0.548005021237158,1.74320025646019
88,2.02772022323703,5.0321208548416,7.09521465101191,0.078404015125361,0.585681602944959,1.80915673107224
89,2.14225181603351,5.15207823414813,7.18093981639686,0.0897526070363806,0.624715554453442,1.8761009061749
90,2.25906774206995,5.27083187530934,7.26433242701459,0.102041051890228,0.665108335126318,1.94399435255776
91,2.37808588100928,5.38825843841112,7.34539857408877,0.115297762771043,0.706860384197838,2.01279625808173
92,2.49921761691012,5.50424078827771,7.42414955783626,0.129550513797562,0.749971092161035,2.08246346759063
93,2.6223673946903,5.61866844316162,7.50060152419828,0.14482641357169,0.794438765359958,2.1529505411501
94,2.74743236500878,5.73143795469804,7.5747750992141,0.161151880268467,0.840260583031806,2.22420983093996
95,2.87430212811643,5.84245321795267,7.64669502428779,0.178552617821271,0.887432546333197,2.2961915765552
96,3.00285858567678,5.95162571153852,7.71638979525677,0.19705359275725,0.935949419186177,2.36884401828703
97,3.13297590764488,6.05887466883227,7.78389130782903,0.216679011300857,0.985804661084963,2.44211352770568
98,3.26452061908328,6.16412718212957,7.84923451161921,0.237452296401945,1.03699035230689,2.51594475462713
99,3.39735180936621,6.26731824297103,7.91245707468865,0.259396064364705,1.08949711226128,2.59028078931981
100,3.53132146365518,6.36839072188626,7.97359906018254,0.282532100762365,1.14331401198232,2.66506333860119
101,3.6662749139156,6.46729529136499,8.03270261636395,0.306881335322503,1.19842848202097,2.74023291429001
102,3.80205140416472,6.56399029703815,8.08981168107007,0.332463815463617,1.25482621721074,2.81572903232246
103,3.93848476218691,6.65844158181614,8.14497170136328,0.359298678157316,1.31249107996887,2.89149042071127
104,4.07540416769623,6.75062226808749,8.19822936891871,0.387404119784914,1.37140500394475,2.96745552296913
105,4.21263500494179,6.84051250319184,8.2496323714817,0.416797363416733,1.43154789993956,3.04356425215819
106,4.34999978609274,6.92809917339218,8.29922916054234,0.447494623876363,1.49289756609079,3.11975544038314
107,4.48731913044949,7.01337559149794,8.34706873521082,0.479511069838451,1.55542960434473,3.1959660175763
108,4.62441278363953,7.09634116314078,8.39320044213356,0.512860782132888,1.6191173452263,3.27213373264434
109,4.7611006604762,7.17700103649556,8.43767379116817,0.547556708689956,1.6839317828603,3.34819697257899
110,4.89720389509137,7.25536573997591,8.48053828643069,0.583610615643223,1.74984152210287,3.42409491068658
111,5.03254588227991,7.33145081213348,8.52184327224281,0.621033034386582,1.81681273950768,3.49976770421929
112,5.16695329468413,7.40527642765979,8.56163779338485,0.65983320443974,1.88480915952298,3.57515668959288
113,5.3002570614674,7.47686702303996,8.59997046921035,0.700019012046209,1.95379204774008,3.65020456501721
114,5.43229329542338,7.5462509250479,8.63688938088401,0.741596924509348,2.02372022202275,3.72485556431931
115,5.56290415699246,7.61345998491015,8.672441970966,0.784571920364189,2.09455008205012,3.79905562039547
116,5.69193864535077,7.67852922060637,8.706674954808,0.828947415585539,2.16623565834649,3.8727525165002
117,5.81925330854321,7.74149646942552,8.73963424301318,0.874725186144282,2.23872868095546,3.94589602418201
118,5.94471286649317,7.80240205256065,8.77136487425893,0.921905287341787,2.31197866777844,4.01843802704666
119,6.0681907425839,7.86128845320842,8.8019109577867,0.970485970475143,2.3859330323047,4.09033262979771
120,6.18956950132537,7.91820000934042,8.83131562487415,1.02046359751136,2.46053721017095,4.16153625225908
121,6.30874119134735,7.97318262203888,8.85962098862058,1.07183255457302,2.53573480371002,4.2320077083905
122,6.42560759456563,8.02628348003741,8.88686811139666,1.1245851651589,2.61146774338538,4.30170827038546
123,6.54008038382054,8.07755080087799,8.91309697933171,1.17871160413699,2.68767646476507,4.37060171773156
124,6.65208119256793,8.12703358889289,8.93834648323786,1.23419981365229,2.76430009947157,4.43865437149564
125,6.7615416012969,8.17478141003841,8.96265440539738,1.29103542218123,2.84127667835505,4.50583511423973
126,6.86840304625201,8.22084418345062,8.98605741166794,1.34920166804101,2.91854334497967,4.57211539652792
127,6.97261665674648,8.26527198945646,9.00859104838996,1.40867932871583,2.99603657738924,4.63746923049976
128,7.07414302787629,8.30811489365957,9.03028974360992,1.46944665739705,3.07369241603044,4.70187317102613
129,7.17295193578791,8.34942278662334,9.05118681216341,1.53147932814297,3.15144669565962,4.76530628562327
130,7.26902200283237,8.38924523859588,9.07131446419074,1.59475039104877,3.22923527904156,4.82775011388735
131,7.36234031996664,8.42763136865978,9.09070381668746,1.65923023877419,3.30699429026797,4.88918861735221
132,7.45290203366102,8.46462972764173,9.10938490772004,1.72488658570694,3.38466034557323,4.94960812069379
133,7.54070990435486,8.50028819408361,9.12738671296429,1.79168446094226,3.46217077960713,5.00899724521299
134,7.6257738431909,8.53465388255376,9.14473716425071,1.8595862161366,3.53946386523369,5.06734683552479
135,7.70811043337237,8.56777306356481,9.16146316982605,1.92855154914485,3.61647902505929,5.12464988036897
136,7.7877424420383,8.59969109436136,9.17759063606441,1.99853754417956,3.69315703304773,5.1809014284355
137,7.86469832806641,8.63045235984495,9.19314449038412,2.06949872904065,3.76944020475212,5.23609850006891
138,7.93901175069521,8.66010022291416,9.20814870514848,2.14138714975559,3.8452725748782,5.29023999567972
139,8.01072108332978,8.68867698351443,9.22262632234823,2.21415246275162,3.92060006108812,5.34332660165037
140,8.07986893636321,8.7162238457115,9.23659947888331,2.28774204445089,3.99537061315187,5.39536069447786
141,8.1465016923246,8.74278089212794,9.2500894322793,2.3621011179485,4.06953434675573,5.44634748310566
142,8.2106690561582,8.76838706510744,9.26311658668995,2.43717289619895,4.14304366147441,5.49629359547999
143,8.27242362295578,8.7930801540011,9.27570051905403,2.51289874091099,4.21585334260778,5.54520550994532
144,8.33182046501055,8.81689678800034,9.28786000528735,2.58921833613149,4.28792064676859,5.59309087086769
145,8.38891673963953,8.83987243397105,9.2996130464061,2.66606987529607,4.35920537128213,5.63995871495042
146,8.44377131883386,8.86204139877693,9.31097689448825,2.74339026033814,4.42966990762185,5.68581927583294
147,8.49644444144714,8.88343683560973,9.32196807839201,2.82111531128376,4.49927927925382,5.73068386775858
148,8.54699738831583,8.90409075387654,9.33260242916049,2.89917998461949,4.56800116439499,5.77456482756245
149,8.59549218042959,8.92403403222529,9.34289510505107,2.97751859860871,4.63580590430884,5.81747545680086
150,8.64199130002668,8.94329643431811,9.35286061613669,3.05606506364664,4.70266649786173,5.85942980543821
151,8.68655743428084,8.96190662683133,9.36251284843449,3.13475311569159,4.7685585831476,5.90044257778088
152,8.7292532410691,8.97989219983833,9.37186508752379,3.21351655078555,4.83346040705623,5.94052906813533
153,8.77014113616383,8.99727968894347,9.38093004162244,3.29228945868406,4.89735278371203,5.97970509223024
154,8.80928310107337,9.014094598555,9.38971986409623,3.37100645365054,4.96021904274691,6.01798691976213
155,8.84674051066149,9.03036142654091,9.39824617538111,3.44960290053373,5.02204496839249,6.05539120937521
156,8.88257397960338,9.04610368986782,9.40652008430334,3.52801513433672,5.08281873038664,6.0919349465694
157,8.91684322668752,9.06134395101211,9.41455220878619,3.60618067159597,5.14253080768505,6.12763538475842
158,8.94960695593702,9.07610384495266,9.42235269593606,3.68403841202313,5.20117390595577,6.16250998957872
159,8.98092275350733,9.09040410657331,9.42993124150418,3.7615288290103,5.25874286980993,6.19657638682492
160,9.01084699931448,9.10426459832131,9.437297108723,3.83859414776363,5.31523459069083,6.22985231699962
161,9.03943479235359,9.11770433798345,9.44445914651891,3.91517851000155,5.37064791130417,6.26235559299853
162,9.06673988868535,9.13074152645861,9.45142580710541,3.99122812433662,5.42498352742815,6.29410405592111
163,9.09281465109387,9.1433935754168,9.45820516296275,4.06669140164134,5.47824388789237,6.32511553251513
164,9.11771000944955,9.15567713475079,9.46480492321194,4.14151907488261,5.53043309346279,6.3554077966378
165,9.14147543084838,9.16760811973566,9.471232449392,4.21566430309182,5.58155679531439,6.38499853428932
166,9.16415889863924,9.17920173782427,9.47749477065166,4.28908275931055,5.63162209371698,6.41390531186934
167,9.18580689949333,9.19047251501562,9.48359859836649,4.36173270252199,5.68063743750292,6.4421455474258
168,9.20646441771679,9.20143432174296,9.4895503401485,4.43357503373353,5.72861252482871,6.46973648470544
169,9.22617493605188,9.21210039823589,9.49535611339842,4.50457333652289,5.77555820568632,6.49669516983574
170,9.2449804422603,9.22248337931905,9.50102175832539,4.5746939024923,5.82148638656569,6.52303843047969
171,9.26292144082813,9.23259531861597,9.50655285035338,4.64390574196687,5.86640993761783,6.54878285731318
172,9.28003696917787,9.24244771213376,9.5119547120669,4.71218058128019,5.91034260261685,6.57394478768121
173,9.29636461781775,9.25205152120859,9.51723242466639,4.77949284695478,5.95329891197207,6.59854038355985
174,9.31194055390252,9.26141719479783,9.52239083894809,4.8458196371467,5.99529409899642,6.62258649143497
175,9.32679954772119,9.27055469110903,9.52743458582302,4.91114068191897,6.03634401941582,6.64609925710695
176,9.34097500166809,9.279473498559,9.53236808639087,4.97543829304721,6.07646507478361,6.66909339550494
177,9.35449898129112,9.28818265606076,9.53719556158301,5.03869730431486,6.11567413953235,6.69158348477978
178,9.36740224804846,9.29669077263866,9.54192104139013,5.10090500327259,6.15398849135908,6.71358388485307
179,9.3797142934376,9.30500604637466,9.54654837368906,5.16205105543994,6.19142574551023,6.73510868912104
180,9.39146337419447,9.31313628269115,9.55108123268327,5.22212742192182,6.22800379278969,6.7561717036575
181,9.4026765482897,9.32108891197808,9.55552312697152,5.2811282713945,6.26374074126794,6.77678643593606
182,9.41337971147684,9.3288710065734,9.55987740725842,5.33904988739126,6.29865486164977,6.79696608816686
183,9.42359763417397,9.33648929710757,9.56414727372097,5.39589057178461,6.33276453623952,6.81672355586898
184,9.43335399848529,9.34395018822444,9.5683357830442,5.45165054532343,6.36608821142827,6.83607145553843
185,9.44267143518884,9.35125977369114,9.57244585513933,5.50633184603801,6.39864435361345,6.8550221716387
186,9.45157156054003,9.3584238509114,9.5764802795568,5.55993822627805,6.43045140845062,6.87358775696658
187,9.46007501275907,9.36544793485693,9.5804417216069,5.6124750490975,6.46152776332848,6.89177991814028
188,9.46820148808509,9.37233727143166,9.58433272820001,5.66394918464531,6.4918917129504,6.90961002940008
189,9.4759697762994,9.37909685028561,9.5881557334178,5.71436890716686,6.52156142790105,6.9270891422096
190,9.4833977956316,9.38573141709319,9.59191306382724,5.76374379316554,6.55055492607212,6.9442279928858
191,9.49050262697718,9.39224548531276,9.59560694354781,5.81208462121831,6.57889004681879,6.96103700949491
192,9.49730054736638,9.39864334744398,9.59923949908272,5.85940327388443,6.60658442771766,6.97752631821424
193,9.50380706263424,9.40492908579903,9.60281276392461,5.90571264209503,6.63365548379576,6.99370574940728
194,9.51003693925249,9.41110658263948,9.60632868294506,5.95102653235799,6.66012038910143,7.00958484591934
195,9.51600423529186,9.41717953019212,9.60978911657764,5.99535957706529,6.68599606048942,7.02517286801227
196,9.52172233049116,9.42315144022573,9.61319584480387,6.03872714814331,6.7112991434947,7.04047880004721
197,9.52720395541621,9.42902565286962,9.61655057095049,6.08114527424223,6.73604600017212,7.05551135711779
198,9.53246121969798,9.43480534519636,9.6198549253067,6.12263056162039,6.76025269878289,7.07027899225617
199,9.53750563934459,9.44049353941348,9.62311046856952,6.16320011884259,6.7839350052124,7.08478990699648
200,9.54234816312691,9.44609311067997,9.62631869512495,6.20287148537471,6.8071083760084,7.0990521823826
201,9.43038383359216,9.33546343849491,9.512486952263,6.14327637825593,6.72783475956237,7.00946398171701
202,9.20341292340669,9.11038541353616,9.28344947076691,5.98541801492576,6.54749023334461,6.81757770750179
203,8.98071321752887,8.88964316289415,9.05888063472786,5.82973509414505,6.37029182226392,6.62936299443359
204,8.76227419747029,8.67321541492916,8.83875077838325,5.67628849775073,6.19625452558008,6.44480875813387
205,8.54808313769413,8.46107963132592,8.6230307781922,5.52513440018662,6.02539252886662,6.26390407754401
206,8.33812529261987,8.25321211938754,8.41169135314142,5.37632435606848,5.85771784315502,6.08663708288914
207,8.13238399055771,8.04958805854503,8.20470276474049,5.22990536225646,5.69323982300026,5.91299448445421
208,7.93084063683849,7.85018144283571,8.00203458889468,5.08591989378437,5.53196495935995,5.74296131824608
209,7.733474642932,7.65496495535233,7.80365548541858,4.94440591964636,5.37389676187907,5.57652075941787
210,7.5402633041693,7.4639097964156,7.60953295393421,4.8053969072918,5.21903567487933,5.41365397632132
211,7.35118164927489,7.27698548785412,7.41963308435547,4.66892182517421,5.06737901237072,5.25434000546164
212,7.16620228259104,7.09415967355361,7.23392031531797,4.53500515183341,4.91892091048093,5.09855564662412
213,6.98529523615658,6.91539793283883,7.0523572135561,4.40366689842585,4.77365229950765,4.9462753805515
214,6.80842784463267,6.74066361920912,6.87490428472231,4.27492264995686,4.63156089831778,4.79747131175929
215,6.6355646520266,6.56991773301642,6.70151982298167,4.14878362799782,4.4926312332664,4.6521131330855
216,6.46666735555656,6.40311883316425,6.53215980360541,4.02525677688854,4.35684468225054,4.51016813695903
217,6.30169478897089,6.24022298995356,6.36677782005612,3.90434487394512,4.2241795441026,4.37160123790895
218,6.14060294522423,6.08118377884978,6.20532506483237,3.78604666232351,4.09461113253362,4.2363750228503
219,5.98334503658982,5.92595231316593,6.04775035164308,3.6703570049761,3.96811189261091,4.10444983091384
220,5.82987158899568,5.77447731239415,5.89400017527501,3.55726705738589,3.84465153788299,3.97578385398469
221,5.68013056652926,5.62670520209652,5.74401880473979,3.44676445639378,3.72419720632734,3.85033324644836
222,5.53406752158741,5.48258024080577,5.59774840486506,3.33883352225564,3.60671363467381,3.72805227707484
223,5.39162576597057,5.34204466921625,5.45512918135696,3.2334554710416,3.4921633563065,3.60889347687683
224,5.25274655826877,5.20503887699245,5.31609954444026,3.1306086345921,3.38050693064096,3.49280778631274
225,5.1173693030973,5.07150158273095,5.18059628641991,3.03026868545291,3.2717019907579,3.37974472208033
226,4.98543175806331,4.94137002292994,5.04855476885349,2.93240886460343,3.16570541783744,3.26965253520846
227,4.85687024473849,4.81458014621018,4.91990911543738,2.83700020979296,3.06247301256033,3.16247842578696
228,4.73161986034421,4.69106680945669,4.79459240715947,2.74401178334833,2.96195887352534,3.0581686735548
229,4.60961468730169,4.57076397299122,4.67253687673041,2.65341089899969,2.86411600953269,2.95666879013757
230,4.49078799823833,4.4536048923207,4.55367409975864,2.56516334817778,2.76889652827494,2.85792366612094
231,4.37507245446041,4.33952230442144,4.43793518056617,2.47923362940525,2.67625182103618,2.76187779048945
232,4.26240029629516,4.22844860690956,4.32525093094415,2.39558519217739,2.58613274373197,2.66847535806808
233,4.15270352406225,4.12031602880233,4.2155520405149,2.31418073615178,2.49848979628284,2.57766037807249
234,4.04591406875551,4.0150567918959,4.10876923769617,2.23498279452094,2.41327330647804,2.48937689195269
235,3.94196395179872,3.91260326206725,4.00483344055479,2.15796363922962,2.3304336379406,2.40356905247966
236,3.8407854334864,3.81288809005434,3.90367589708962,2.08308670214152,2.2499215101646,2.32018119850504
237,3.74231114987244,3.71584434148061,3.8052283147005,2.01027205989945,2.17168927449207,2.2391580850632
238,3.64647423827893,3.62140561606777,3.7094229787831,1.93951196546512,2.0956852718427,2.1604448362103
239,3.55320845145063,3.52950615613,3.61619286054132,1.87077082679879,2.02185775838387,2.08398717842394
240,3.46244826050383,3.44008094456362,3.52547171423277,1.8040141791413,1.95016294468428,2.00973140287979
241,3.3741289472057,3.35306579264344,3.43719416414016,1.73920903649388,1.88055483604033,1.93762455956657
242,3.28818668595617,3.26839741801211,3.35129578172543,1.67632448131772,1.8129894906889,1.86761440490648
243,3.20455861595704,3.1860135133066,3.26771315337198,1.61533272566543,1.74742984370998,1.7996496059273
244,3.12318290409363,3.10585280590509,3.18638393916121,1.55621137872701,1.6838309427967,1.73367967323223
245,3.04399879907615,3.02785510930598,3.1072469232667,1.49895143318823,1.62215042175958,1.66965509465863
246,2.96694667740281,2.951961366665,3.03024205647762,1.44371081577534,1.56238628584845,1.60752738451246
247,2.89196808170836,2.8781136870232,2.95531049138985,1.39201788176446,1.50454858941065,1.54724912954601
248,2.8190057520583,2.8062553747558,2.88239461080132,1.35458342230515,1.44910073389377,1.48877404516169
249,2.74800365073856,2.73633095276359,2.81143804983927,1.32879456631446,1.40752761858995,1.43205706723954
250,2.67890698107267,2.66828617991559,2.74238571233302,1.303585060218,1.37903435256259,1.37705442815599
251,2.6116622007819,2.60206806323358,2.6751837819286,1.27897316411927,1.35196547665879,1.32372381544795
252,2.54621703037955,2.53762486528957,2.60977972842026,1.25494395097821,1.32557152730353,1.2720245801338
253,2.48252045706692,2.47490610726454,2.54612230975147,1.23148277480093,1.29983390339447,1.22191802648714
254,2.42052273457328,2.41386256809276,2.48416157011376,1.20857527630441,1.27473460177068,1.17336814192314
255,2.3601753793559,2.3544462800924,2.42384883454654,1.18620738698941,1.25025607101896,1.12634301339387
256,2.30143116354941,2.29661052145709,2.36513670041593,1.16436533214515,1.22638120694145,1.0808186690585
257,2.24424410502796,2.24030980595903,2.30797902612531,1.14303563286602,1.20309334743097,1.03679474208589
258,2.18856945491766,2.18549987018942,2.25233091738524,1.12220510715849,1.18037626680742,0.994508924601463
259,2.13436368287207,2.13213765863804,2.19814871134655,1.1018608702159,1.15821416966723,0.96332474305138
